data;links
20/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9484&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=38&indTipoSessao=E&tipo=uf
20/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9485&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=38&indTipoSessao=E&tipo=uf
20/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9486&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=38&indTipoSessao=E&tipo=uf
20/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9487&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=38&indTipoSessao=E&tipo=uf
20/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9476&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=37&indTipoSessao=E&tipo=uf
20/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9478&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=37&indTipoSessao=E&tipo=uf
20/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9479&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=37&indTipoSessao=E&tipo=uf
20/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9480&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=37&indTipoSessao=E&tipo=uf
20/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9481&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=37&indTipoSessao=E&tipo=uf
20/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9482&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=37&indTipoSessao=E&tipo=uf
22/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9496&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=39&indTipoSessao=E&tipo=uf
27/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9503&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=40&indTipoSessao=E&tipo=uf
27/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9506&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=40&indTipoSessao=E&tipo=uf
28/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9512&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=41&indTipoSessao=E&tipo=uf
28/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9513&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=41&indTipoSessao=E&tipo=uf
28/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9514&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=41&indTipoSessao=E&tipo=uf
28/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9515&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=41&indTipoSessao=E&tipo=uf
28/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9518&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=41&indTipoSessao=E&tipo=uf
29/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9524&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=42&indTipoSessao=E&tipo=uf
29/04/2021;https://www.camara.leg.br/internet/votacao/mostraVotacao.asp?ideVotacao=9528&numLegislatura=56&codCasa=1&numSessaoLegislativa=3&indTipoSessaoLegislativa=O&numSessao=42&indTipoSessao=E&tipo=uf
